"city","year","grid_id","grid_x","grid_y","retail_records","occupied_count","vacant_count","unknown_count","known_occupation_count","vacancy_rate"
"Birmingham",2016,"Birmingham_4e+05_276250",4e+05,276250,1,1,0,0,1,0
"Birmingham",2019,"Birmingham_4e+05_276250",4e+05,276250,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_4e+05_276250",4e+05,276250,1,1,0,0,1,0
"Birmingham",2025,"Birmingham_4e+05_276250",4e+05,276250,1,0,0,1,0,NA
"Birmingham",2016,"Birmingham_400500_276250",400500,276250,1,1,0,0,1,0
"Birmingham",2019,"Birmingham_400500_276250",400500,276250,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_400500_276250",400500,276250,1,1,0,0,1,0
"Birmingham",2025,"Birmingham_400500_276250",400500,276250,1,1,0,0,1,0
"Birmingham",2016,"Birmingham_399250_276750",399250,276750,1,1,0,0,1,0
"Birmingham",2019,"Birmingham_399250_276750",399250,276750,1,0,0,1,0,NA
"Birmingham",2022,"Birmingham_399250_276750",399250,276750,1,0,0,1,0,NA
"Birmingham",2025,"Birmingham_399250_276750",399250,276750,1,0,0,1,0,NA
"Birmingham",2016,"Birmingham_399750_276750",399750,276750,14,6,0,8,6,0
"Birmingham",2019,"Birmingham_399750_276750",399750,276750,12,7,2,3,9,0.222222222222222
"Birmingham",2022,"Birmingham_399750_276750",399750,276750,12,9,0,3,9,0
"Birmingham",2025,"Birmingham_399750_276750",399750,276750,12,8,0,4,8,0
"Birmingham",2016,"Birmingham_4e+05_276750",4e+05,276750,8,5,0,3,5,0
"Birmingham",2019,"Birmingham_4e+05_276750",4e+05,276750,8,8,0,0,8,0
"Birmingham",2022,"Birmingham_4e+05_276750",4e+05,276750,8,6,1,1,7,0.142857142857143
"Birmingham",2025,"Birmingham_4e+05_276750",4e+05,276750,8,4,1,3,5,0.2
"Birmingham",2016,"Birmingham_401500_276750",401500,276750,5,3,0,2,3,0
"Birmingham",2019,"Birmingham_401500_276750",401500,276750,3,3,0,0,3,0
"Birmingham",2022,"Birmingham_401500_276750",401500,276750,4,4,0,0,4,0
"Birmingham",2025,"Birmingham_401500_276750",401500,276750,5,1,0,4,1,0
"Birmingham",2016,"Birmingham_402000_276750",402000,276750,1,1,0,0,1,0
"Birmingham",2019,"Birmingham_402000_276750",402000,276750,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_402000_276750",402000,276750,1,1,0,0,1,0
"Birmingham",2016,"Birmingham_402750_276750",402750,276750,1,1,0,0,1,0
"Birmingham",2019,"Birmingham_402750_276750",402750,276750,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_402750_276750",402750,276750,1,1,0,0,1,0
"Birmingham",2025,"Birmingham_402750_276750",402750,276750,1,1,0,0,1,0
"Birmingham",2016,"Birmingham_400500_277000",400500,277000,1,0,0,1,0,NA
"Birmingham",2019,"Birmingham_400500_277000",400500,277000,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_400500_277000",400500,277000,1,0,1,0,1,1
"Birmingham",2025,"Birmingham_400500_277000",400500,277000,1,0,1,0,1,1
"Birmingham",2016,"Birmingham_401500_277000",401500,277000,3,1,0,2,1,0
"Birmingham",2019,"Birmingham_401500_277000",401500,277000,3,2,0,1,2,0
"Birmingham",2022,"Birmingham_401500_277000",401500,277000,2,2,0,0,2,0
"Birmingham",2025,"Birmingham_401500_277000",401500,277000,2,1,0,1,1,0
"Birmingham",2016,"Birmingham_402250_277000",402250,277000,4,3,0,1,3,0
"Birmingham",2019,"Birmingham_402250_277000",402250,277000,3,2,0,1,2,0
"Birmingham",2022,"Birmingham_402250_277000",402250,277000,3,2,0,1,2,0
"Birmingham",2025,"Birmingham_402250_277000",402250,277000,3,2,0,1,2,0
"Birmingham",2016,"Birmingham_403750_277000",403750,277000,1,0,0,1,0,NA
"Birmingham",2019,"Birmingham_403750_277000",403750,277000,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_403750_277000",403750,277000,1,1,0,0,1,0
"Birmingham",2025,"Birmingham_403750_277000",403750,277000,1,0,0,1,0,NA
"Birmingham",2016,"Birmingham_399000_277250",399000,277250,2,1,0,1,1,0
"Birmingham",2019,"Birmingham_399000_277250",399000,277250,1,1,0,0,1,0
"Birmingham",2022,"Birmingham_399000_277250",399000,277250,1,1,0,0,1,0
"Birmingham",2025,"Birmingham_399000_277250",399000,277250,1,1,0,0,1,0
"Birmingham",2016,"Birmingham_399250_277250",399250,277250,4,4,0,0,4,0
"Birmingham",2019,"Birmingham_399250_277250",399250,277250,4,4,0,0,4,0
"Birmingham",2022,"Birmingham_399250_277250",399250,277250,4,3,1,0,4,0.25
